,Year,Q,Quarter,Artist Genre,Gross USD,key,Benchmark,% of Benchmark
44,2010,Q3,2010 Q3,Pop,64078.5,Q3_Pop,120966.25,52.97
45,2010,Q3,2010 Q3,Punk or Metal,60125.0,Q3_Punk or Metal,66610.0,90.26
46,2010,Q3,2010 Q3,Rock,98282.0,Q3_Rock,99114.875,99.16
47,2010,Q4,2010 Q4,Blues,91198.5,Q4_Blues,94406.0,96.6
48,2010,Q4,2010 Q4,Country,98241.0,Q4_Country,86238.0,113.92
49,2010,Q4,2010 Q4,Electronic,75997.33333333333,Q4_Electronic,87869.63333333333,86.49
50,2010,Q4,2010 Q4,Indie,72356.66666666667,Q4_Indie,84105.78666666668,86.03
51,2010,Q4,2010 Q4,Other,81965.0,Q4_Other,73366.16666666667,111.72
52,2010,Q4,2010 Q4,Punk or Metal,77425.0,Q4_Punk or Metal,89123.9,86.87
53,2010,Q4,2010 Q4,Rock,77104.0,Q4_Rock,94105.0625,81.93
54,2011,Q1,2011 Q1,Blues,115497.0,Q1_Blues,145463.16666666666,79.4
55,2011,Q1,2011 Q1,Electronic,66780.5,Q1_Electronic,73839.0,90.44
56,2011,Q1,2011 Q1,Folk,105000.0,Q1_Folk,76609.0,137.06
57,2011,Q1,2011 Q1,Indie,45195.0,Q1_Indie,76606.2,59.0
58,2011,Q1,2011 Q1,Other,54816.666666666664,Q1_Other,72572.55555555555,75.53
59,2011,Q1,2011 Q1,Pop,70000.0,Q1_Pop,92362.0,75.79
60,2011,Q1,2011 Q1,Punk or Metal,90300.0,Q1_Punk or Metal,89718.75,100.65
61,2011,Q1,2011 Q1,Rock,99159.0,Q1_Rock,99971.225,99.19
62,2011,Q2,2011 Q2,Electronic,66652.0,Q2_Electronic,92388.5,72.14
63,2011,Q2,2011 Q2,Folk,148097.6,Q2_Folk,101173.7125,146.38
64,2011,Q2,2011 Q2,Indie,68551.0,Q2_Indie,87952.96952380952,77.94
65,2011,Q2,2011 Q2,Pop,137907.75,Q2_Pop,103234.8125,133.59
66,2011,Q2,2011 Q2,Rock,79641.0,Q2_Rock,97297.01666666666,81.85
67,2011,Q3,2011 Q3,Blues,116715.0,Q3_Blues,119019.16666666666,98.06
68,2011,Q3,2011 Q3,Electronic,106294.0,Q3_Electronic,95816.1,110.94
