Start Date,End Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
5/20/2009,5/20/2009,1,The Decemberists,Other Lives,2800,98000,98000,US DOLLAR,2800,100,35,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/19/2009,5/19/2009,1,John Vanderslice,,279,4464,4464,US DOLLAR,300,93,16,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/17/2009,5/17/2009,1,Ben Folds,The Unthanks,1753,58643,58643,US DOLLAR,1900,93,35,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/16/2009,5/16/2009,1,M. Ward,Richmond Fontaine,2209,65165,65165,US DOLLAR,2800,79,29.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/12/2009,5/13/2009,2,The Allman Brothers Band,Warren Haynes,5600,327600,327600,US DOLLAR,2800,100,58.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/9/2009,5/9/2009,1,The Shins,Delta Spirit,2800,99400,99400,US DOLLAR,2800,100,35.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/8/2009,5/8/2009,1,Keane,The Helio Sequence,2674,102949,102949,US DOLLAR,2800,96,38.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/5/2009,5/5/2009,1,Seal,Peter Cincotti,1729,119786,119786,US DOLLAR,1729,100,50,80,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/23/2009,4/23/2009,1,Jeff Beck,Davy Knowles,2800,172158,172158,US DOLLAR,2800,100,49.5,65,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/21/2009,4/21/2009,1,Fleet Foxes,Blitzen Trapper,2532,56970,56970,US DOLLAR,2532,100,22.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/20/2009,4/20/2009,1,Bloc Party,Menomena,2661,89144,89144,US DOLLAR,2661,100,33.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/19/2009,,1,Common,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
4/18/2009,4/18/2009,1,The Black Keys,Thee Make Out Party,2800,84000,84000,US DOLLAR,2800,100,30,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/17/2009,4/17/2009,1,Band Of Horses,"A Decent Animal, Everest, The Drones",2800,82600,82600,US DOLLAR,2800,100,29.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/16/2009,4/16/2009,1,B.B. King,Lukas Nelson &amp; Promise Of The Real,1887,126459,126459,US DOLLAR,1887,100,45.5,85.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/15/2009,4/15/2009,1,Franz Ferdinand,Born Ruffians,2501,87535,87535,US DOLLAR,2501,100,34.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/14/2009,4/14/2009,1,Green Day,,2413,119444,119444,US DOLLAR,2413,100,49.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/3/2009,4/3/2009,1,The Moody Blues,,1689,120802,120802,US DOLLAR,1689,100,45,85,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/2/2009,4/2/2009,1,Tesla,The Leo Project,1240,40300,40300,US DOLLAR,1900,66,32.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/22/2009,2/22/2009,1,Modest Mouse,"Japanese Motors, Mimicking Birds",2800,99400,99400,US DOLLAR,2800,100,35.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/21/2009,2/21/2009,1,CAKE,The Lovemakers,2800,98000,98000,US DOLLAR,2800,100,35,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/20/2009,2/20/2009,1,"""Ragga Muffins Festival""","Julian Marley, K'naan, Lee ""Scratch"" Perry, Rootz Underground, Stephen Marley",2163,81763,81763,US DOLLAR,2800,78,37.5,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/13/2009,2/13/2009,1,Will Downing,Gerald Albright,1947,74893,74893,US DOLLAR,1947,100,39.5,49.5,Fox Theater,Oakland,CA,United States,"Another Planet Entertainment, Bay Area Productions"
2/7/2009,2/7/2009,1,Michael Franti & Spearhead,"ALO (Animal Liberation Orchestra), Solillaquists Of Sound",2800,88563,88563,US DOLLAR,2800,100,32.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/6/2009,2/6/2009,1,Social Distortion,"The Black Tibetans, The Devil Makes Three",2800,91000,91000,US DOLLAR,2800,100,32.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/5/2009,,1,Trombone Shorty & Orleans Avenue,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
