,Event Date,Year,Month,Q,Quarter,Season,Day of Week,Time of Week,Number of Shows,Show Type,Headliner,Support,Number of Supporting Acts,Tickets Sold,Gross USD,Venue Capacity,Percent Tickets Sold,Minimum Ticket Price,Maximum Ticket Price,Ticket Range,Artist Start Date,Years Active,Artist Hometown,US Region,Local or Not,Miles From Home,Artist Genre,Main Genre,Hometown Latitude,Hometown Longitude
108,2009-05-25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
109,2009-05-26,2009,May,Q2,2009 Q2,Spring,Tuesday  ,Weekday,1.0,single headliner,Animal Collective,Grouper,1.0,2800.0,71400.0,2800.0,100.0,25.5,25.5,0.0,2003.0,6.0,"Baltimore, Maryland, United States",Northeast,US,2448.801257,Folk,freak folk,39.2908816,-76.610759
110,2009-05-27,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
111,2009-05-28,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
112,2009-05-29,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
113,2009-05-30,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
114,2009-05-31,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
115,2009-06-01,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
116,2009-06-02,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
117,2009-06-03,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
118,2009-06-04,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
119,2009-06-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
120,2009-06-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
121,2009-06-07,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
122,2009-06-08,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
123,2009-06-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
124,2009-06-10,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
125,2009-06-11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
126,2009-06-12,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
127,2009-06-13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
128,2009-06-14,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
129,2009-06-15,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
130,2009-06-16,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
131,2009-06-17,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
132,2009-06-18,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
133,2009-06-19,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
134,2009-06-20,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
135,2009-06-21,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
136,2009-06-22,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
137,2009-06-23,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
138,2009-06-24,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
139,2009-06-25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
140,2009-06-26,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
141,2009-06-27,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
142,2009-06-28,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
143,2009-06-29,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
144,2009-06-30,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
145,2009-07-01,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
146,2009-07-02,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
147,2009-07-03,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
148,2009-07-04,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
149,2009-07-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
150,2009-07-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
151,2009-07-07,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
152,2009-07-08,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
153,2009-07-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
154,2009-07-10,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
155,2009-07-11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
156,2009-07-12,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
