Start Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
2016-06-18,1,Gregory Porter,Kandace Springs,1005.0,59686.0,59686.0,US DOLLAR,1859.0,55.0,37.75,70.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-06-22,1,Mudcrutch,The Shelters,2800.0,200165.0,200165.0,US DOLLAR,2800.0,100.0,69.5,89.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-07-14,2,Widespread Panic,,2643.0,137175.0,274350.0,US DOLLAR,2800.0,94.5,55.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-07-15,2,Widespread Panic,,2643.0,137175.0,274350.0,US DOLLAR,2800.0,94.5,55.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-07-16,1,"""Welcome To Night Vale""",Erin McKeown,1717.0,53000.0,53000.0,US DOLLAR,1717.0,100.0,27.5,33.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-07-19,1,Bela Fleck & Chris Thile / Chris Thile,,1641.0,82538.0,82538.0,US DOLLAR,1817.0,91.0,39.5,65.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-08-03,1,Flogging Molly,Frank Turner,2676.0,105856.0,105856.0,US DOLLAR,2800.0,96.0,39.5,45.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-08-04,1,Cornelius,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-08-10,1,Gregory Alan Isakov,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-08-17,1,Ben Harper & The Innocent Criminals,The Jack Moves,2819.0,153013.0,153013.0,US DOLLAR,2819.0,100.0,52.5,75.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-08-19,1,Broods,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-08-27,1,El Tri,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-09-01,1,The Australian Pink Floyd Show,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-09-08,2,Tedeschi Trucks Band,Nicki Bluhm &amp; The Gramblers,2105.0,115894.0,231788.0,US DOLLAR,2800.0,75.5,52.5,75.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-09,2,Tedeschi Trucks Band,Nicki Bluhm &amp; The Gramblers,2105.0,115894.0,231788.0,US DOLLAR,2800.0,75.5,52.5,75.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-10,1,Gad Elmaleh,,1727.0,65555.0,65555.0,US DOLLAR,1869.0,93.0,35.0,50.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-15,2,"""Brainfeeder""","Flying Lotus, George Clinton And Parliament Funkadelic , Shabazz Palaces, The Gaslamp Killer, Thundercat",2800.0,125542.5,251085.0,US DOLLAR,2800.0,100.0,45.0,50.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
